language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,254.50,0.00,0.0063377
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,145.80,0.00,0.0040376
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,54605.70,0.00,0.7593025
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,178.00,0.00,0.0045289
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,127.80,0.00,0.0033536
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,133.00,0.00,0.0040680
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,46529.40,0.00,0.6770639
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,145.50,0.00,0.0041444
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,293.30,0.00,0.0060047
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,249.90,0.00,0.0052937
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,450.50,0.00,0.0078820
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,195.80,0.00,0.0042661
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,71225.30,0.00,1.0184784
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,284.70,0.00,0.0059348
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,254.10,0.00,0.0049832
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,402.30,0.00,0.0077954
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,34754.00,0.00,0.5058022
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,234.50,0.00,0.0046483
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,543.20,0.00,0.0089984
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,516.20,0.00,0.0088044
