language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,202.20,0.00,0.0455393
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,106.50,0.00,0.0274906
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,17553.80,0.00,2.8559051
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,111.70,0.00,0.0259816
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,38.20,0.00,0.0103657
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,58.90,0.00,0.0144888
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,9663.70,0.00,1.6098798
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,107.70,0.00,0.0256149
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,147.60,0.00,0.0330960
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,218.90,0.00,0.0480768
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,360.10,0.00,0.0767141
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,100.50,0.00,0.0240004
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,19355.50,0.00,3.1895200
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,97.10,0.00,0.0243997
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,116.90,0.00,0.0277525
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,55.10,0.00,0.0131194
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,6834.90,0.00,1.1495754
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,170.70,0.00,0.0412599
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,321.10,0.00,0.0637025
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,268.60,0.00,0.0585325
