language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,46.90,0.00,0.0059732
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,57.60,0.00,0.0079889
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,4949.80,0.00,0.4396391
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,55.30,0.00,0.0088353
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,31.40,0.00,0.0049315
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,43.70,0.00,0.0064447
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,7476.50,0.00,0.6412621
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,20.60,0.00,0.0034089
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,68.90,0.00,0.0097812
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,72.10,0.00,0.0098515
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,84.90,0.00,0.0113066
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,71.80,0.00,0.0107716
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,5565.80,0.00,0.5022124
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,48.10,0.00,0.0071917
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,81.50,0.00,0.0114759
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,42.40,0.00,0.0069309
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,6326.70,0.00,0.5701744
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,67.00,0.00,0.0093808
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,132.30,0.00,0.0161826
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,149.30,0.00,0.0190240
