language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,35.70,0.00,0.0031796
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,35.00,0.00,0.0045283
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,5504.80,0.00,0.0914434
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,71.00,0.00,0.0048439
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,31.50,0.00,0.0039900
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,44.40,0.00,0.0043537
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,2208.10,0.00,0.0419779
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,48.10,0.00,0.0061851
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,49.60,0.00,0.0045763
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,46.70,0.00,0.0036805
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,217.20,0.00,0.0047450
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,171.40,0.00,0.0041787
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,14135.60,0.00,0.2344570
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,184.20,0.00,0.0050214
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,117.20,0.00,0.0038951
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,152.20,0.00,0.0044688
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,12420.20,0.00,0.2012389
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,108.60,0.00,0.0038712
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,235.10,0.00,0.0059453
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,234.60,0.00,0.0063135
