language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,143.10,0.00,0.0291778
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,101.60,0.00,0.0189382
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,9563.30,0.00,1.2707360
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,67.40,0.00,0.0135146
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,34.10,0.00,0.0080578
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,43.60,0.00,0.0091976
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,4733.10,0.00,0.6234299
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,90.70,0.00,0.0169484
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,64.90,0.00,0.0143426
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,62.60,0.00,0.0127030
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,114.00,0.00,0.0236679
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,123.90,0.00,0.0236095
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,10936.80,0.00,1.4721051
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,148.30,0.00,0.0279794
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,81.00,0.00,0.0171231
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,90.00,0.00,0.0194763
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,16056.70,0.00,2.1730232
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,85.10,0.00,0.0171149
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,254.40,0.00,0.0448418
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,114.20,0.00,0.0212893
