language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,45.30,0.00,0.0105124
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,29.30,0.00,0.0072025
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,2676.90,0.00,0.3895087
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,19.30,0.00,0.0053510
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,23.80,0.00,0.0056957
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,9.70,0.00,0.0026443
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1124.40,0.00,0.1740856
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,24.20,0.00,0.0060271
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,29.70,0.00,0.0068703
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,44.40,0.00,0.0096245
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,112.60,0.00,0.0234281
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,65.10,0.00,0.0152124
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,9630.10,0.00,1.3622490
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,56.80,0.00,0.0113967
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,40.80,0.00,0.0086508
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,67.90,0.00,0.0147519
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,2632.40,0.00,0.3948035
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,41.30,0.00,0.0103592
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,126.80,0.00,0.0239176
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,90.40,0.00,0.0184163
