language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,49.30,0.00,0.0087407
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,78.40,0.00,0.0070217
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,5047.70,0.00,0.1158905
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,55.70,0.00,0.0065781
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,46.70,0.00,0.0086137
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,51.40,0.00,0.0052035
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,3446.60,0.00,0.0809144
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,46.30,0.00,0.0053185
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,63.80,0.00,0.0080668
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,87.00,0.00,0.0064281
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,311.10,0.00,0.0095755
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,272.40,0.00,0.0100657
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,23583.70,0.00,0.5244048
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,220.70,0.00,0.0079973
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,80.10,0.00,0.0038131
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,88.60,0.00,0.0051419
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,8615.60,0.00,0.1842445
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,298.90,0.00,0.0089544
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,346.60,0.00,0.0133924
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,221.20,0.00,0.0079514
