language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,26.20,0.00,0.0142151
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,24.40,0.00,0.0157316
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,882.80,0.00,0.3799948
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,20.70,0.00,0.0124172
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,31.30,0.00,0.0165400
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,36.60,0.00,0.0259153
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,960.20,0.00,0.4031023
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,23.20,0.00,0.0259888
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,48.80,0.00,0.0317379
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,23.50,0.00,0.0136937
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,81.90,0.00,0.0478103
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,57.40,0.00,0.0372069
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,5445.50,0.00,2.2432937
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,51.00,0.00,0.0323455
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,57.70,0.00,0.0384273
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,48.40,0.00,0.0282257
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,5949.50,0.00,2.7222451
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,52.70,0.00,0.0320689
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,87.20,0.00,0.0581016
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,94.80,0.00,0.0532357
