language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,43.10,0.00,0.0256373
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,22.30,0.00,0.0129951
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,1188.50,0.00,0.5594785
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,22.80,0.00,0.0150750
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,25.30,0.00,0.0157440
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,25.90,0.00,0.0171250
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1074.50,0.00,0.5321414
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,20.60,0.00,0.0141890
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,33.80,0.00,0.0253834
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,43.60,0.00,0.0315739
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,81.90,0.00,0.0529064
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,101.20,0.00,0.0610858
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,10418.80,0.00,4.6373000
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,94.20,0.00,0.0523536
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,45.40,0.00,0.0316039
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,92.30,0.00,0.0499843
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,6876.10,0.00,3.2094583
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,71.80,0.00,0.0454853
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,78.10,0.00,0.0485147
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,97.00,0.00,0.0551501
