language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,22.90,0.00,0.0118577
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,20.90,0.00,0.0103870
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,1268.50,0.00,0.4552082
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,21.50,0.00,0.0113474
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,17.90,0.00,0.0092311
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,26.20,0.00,0.0157740
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1545.90,0.00,0.5584240
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,21.10,0.00,0.0156796
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,37.10,0.00,0.0192670
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,41.10,0.00,0.0206229
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,128.60,0.00,0.0560917
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,133.20,0.00,0.0614381
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,14848.20,0.00,5.0781972
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,145.70,0.00,0.0620633
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,116.20,0.00,0.0520440
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,84.10,0.00,0.0403425
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,6121.40,0.00,2.1243834
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,110.10,0.00,0.0509557
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,153.50,0.00,0.0662403
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,85.80,0.00,0.0439179
