language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,60.50,0.00,0.0046827
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,59.70,0.00,0.0063585
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,3145.50,0.00,0.0762834
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,57.10,0.00,0.0051157
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,41.50,0.00,0.0034229
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,111.10,0.00,0.0070747
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,3235.40,0.00,0.0793925
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,44.50,0.00,0.0059157
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,105.70,0.00,0.0069606
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,71.70,0.00,0.0087346
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,197.10,0.00,0.0068149
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,210.80,0.00,0.0097892
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,19905.80,0.00,0.4197111
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,88.50,0.00,0.0041465
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,94.50,0.00,0.0052976
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,131.10,0.00,0.0065059
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,6105.80,0.00,0.1271296
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,158.60,0.00,0.0058250
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,143.60,0.00,0.0071791
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,165.90,0.00,0.0057312
