language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,119.60,0.00,0.0042219
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,116.90,0.00,0.0053904
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,5846.20,0.00,0.0885014
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,61.20,0.00,0.0031207
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,45.50,0.00,0.0030219
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,46.80,0.00,0.0037048
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,3484.60,0.00,0.0544874
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,83.70,0.00,0.0034298
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,73.10,0.00,0.0032845
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,77.10,0.00,0.0034106
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,233.70,0.00,0.0050632
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,218.90,0.00,0.0048278
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,21154.60,0.00,0.3098992
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,210.20,0.00,0.0051427
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,167.70,0.00,0.0044304
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,98.60,0.00,0.0029944
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,10587.70,0.00,0.1537915
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,159.20,0.00,0.0041378
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,323.70,0.00,0.0065059
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,177.90,0.00,0.0045354
