language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,35.00,0.00,0.0317854
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,23.10,0.00,0.0186278
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,1400.40,0.00,0.7491345
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,28.20,0.00,0.0209442
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,22.90,0.00,0.0203706
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,38.30,0.00,0.0382239
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,841.50,0.00,0.4532558
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,23.20,0.00,0.0170864
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,24.40,0.00,0.0211627
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,45.90,0.00,0.0335389
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,137.70,0.00,0.0905900
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,138.00,0.00,0.0989969
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,12612.40,0.00,6.4456903
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,163.10,0.00,0.1141725
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,105.40,0.00,0.0692632
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,142.20,0.00,0.0986374
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,6996.60,0.00,3.5734492
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,155.30,0.00,0.0945736
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,274.30,0.00,0.1584340
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,213.40,0.00,0.1287192
