language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,18.20,0.00,0.0052889
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,22.20,0.00,0.0085602
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,1573.90,0.00,0.3615316
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,20.00,0.00,0.0065774
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,26.20,0.00,0.0085289
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,23.30,0.00,0.0077911
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,804.60,0.00,0.1932746
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,24.40,0.00,0.0076071
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,68.90,0.00,0.0208826
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,12.60,0.00,0.0055461
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,86.80,0.00,0.0287315
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,79.70,0.00,0.0262880
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,11392.20,0.00,2.4989667
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,84.60,0.00,0.0294132
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,52.00,0.00,0.0178953
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,76.40,0.00,0.0254514
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,4933.70,0.00,1.0906145
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,75.40,0.00,0.0278562
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,84.40,0.00,0.0261092
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,99.40,0.00,0.0301177
