language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,33.90,0.00,0.0123391
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,38.00,0.00,0.0126089
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,3158.50,0.00,0.6983258
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,28.40,0.00,0.0106578
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,28.00,0.00,0.0097284
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,28.70,0.00,0.0107644
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1166.80,0.00,0.2569959
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,25.90,0.00,0.0093306
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,28.50,0.00,0.0098884
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,41.10,0.00,0.0151024
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,139.20,0.00,0.0390297
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,75.90,0.00,0.0235683
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,13091.40,0.00,2.7839885
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,111.20,0.00,0.0340061
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,69.20,0.00,0.0226543
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,103.10,0.00,0.0343137
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,7495.60,0.00,1.5941167
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,112.20,0.00,0.0351656
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,127.30,0.00,0.0380135
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,99.90,0.00,0.0329449
