language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,44.20,0.00,0.0055817
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,40.10,0.00,0.0090602
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,3128.90,0.00,0.0674707
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,28.70,0.00,0.0063387
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,37.20,0.00,0.0064110
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,60.90,0.00,0.0122939
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,906.90,0.00,0.0238059
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,67.00,0.00,0.0043828
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,41.40,0.00,0.0062954
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,47.60,0.00,0.0041314
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,138.80,0.00,0.0044736
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,158.20,0.00,0.0053021
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,22119.70,0.00,0.4196837
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,92.30,0.00,0.0146418
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,118.80,0.00,0.0049131
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,244.00,0.00,0.0073161
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,7904.60,0.00,0.1475432
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,59.00,0.00,0.0038603
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,101.70,0.00,0.0046500
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,204.70,0.00,0.0063502
