language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,94.00,0.00,0.0153924
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,61.20,0.00,0.0099041
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,5564.40,0.00,0.5780801
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,65.70,0.00,0.0094477
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,29.40,0.00,0.0054455
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,35.80,0.00,0.0060279
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,2845.00,0.00,0.3092824
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,80.60,0.00,0.0117139
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,96.90,0.00,0.0159382
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,96.30,0.00,0.0154680
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,93.20,0.00,0.0160212
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,127.60,0.00,0.0205571
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,14034.00,0.00,1.4694317
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,142.00,0.00,0.0235380
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,70.00,0.00,0.0116890
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,70.80,0.00,0.0112241
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,6456.70,0.00,0.6828164
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,76.70,0.00,0.0131418
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,165.80,0.00,0.0252652
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,104.60,0.00,0.0174065
