language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,23.50,0.00,0.0226277
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,37.90,0.00,0.0299761
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,943.90,0.00,0.5704091
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,22.50,0.00,0.0233066
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,17.40,0.00,0.0175281
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,37.90,0.00,0.0292055
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1226.70,0.00,0.7584345
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,20.70,0.00,0.0155255
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,11.80,0.00,0.0105093
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,26.30,0.00,0.0235796
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,453.80,0.00,0.2956815
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,275.20,0.00,0.1828578
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,13644.60,0.00,8.4820050
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,215.50,0.00,0.1635205
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,87.10,0.00,0.0746290
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,136.30,0.00,0.1123838
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,4540.80,0.00,2.7393724
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,152.00,0.00,0.1096920
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,264.10,0.00,0.1806798
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,349.90,0.00,0.2381561
