language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,50.70,0.00,0.0057469
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,35.60,0.00,0.0084935
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,5605.70,0.00,0.1184781
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,50.20,0.00,0.0067399
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,27.30,0.00,0.0059544
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,28.40,0.00,0.0053253
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,1570.90,0.00,0.0422941
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,48.50,0.00,0.0078092
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,85.50,0.00,0.0056580
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,39.60,0.00,0.0081582
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,133.80,0.00,0.0055528
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,77.60,0.00,0.0043852
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,20943.90,0.00,0.3995566
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,161.30,0.00,0.0059112
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,64.40,0.00,0.0037402
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,60.50,0.00,0.0031120
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,8064.50,0.00,0.1608626
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,80.40,0.00,0.0041739
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,145.60,0.00,0.0049872
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,96.50,0.00,0.0039616
