language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,44.20,0.00,0.0272623
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,35.50,0.00,0.0276207
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,4120.10,0.00,1.6665633
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,19.10,0.00,0.0133017
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,21.00,0.00,0.0163866
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,29.00,0.00,0.0168510
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1342.20,0.00,0.5424247
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,30.50,0.00,0.0194816
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,57.40,0.00,0.0375127
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,27.80,0.00,0.0173811
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,163.20,0.00,0.0830435
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,174.00,0.00,0.0879660
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,13528.90,0.00,5.4422321
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,140.90,0.00,0.0695816
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,75.50,0.00,0.0369666
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,118.40,0.00,0.0620722
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,9634.50,0.00,3.9273164
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,67.10,0.00,0.0377533
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,207.80,0.00,0.1051830
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,200.40,0.00,0.0982809
