language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,66.70,0.00,0.0241129
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,47.00,0.00,0.0217956
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,2920.30,0.00,0.7352865
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,44.20,0.00,0.0165845
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,24.10,0.00,0.0099125
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,53.70,0.00,0.0200825
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1585.60,0.00,0.4015131
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,44.40,0.00,0.0159733
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,58.70,0.00,0.0245722
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,56.10,0.00,0.0208459
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,161.90,0.00,0.0540390
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,210.40,0.00,0.0684401
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,8740.80,0.00,2.1600932
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,65.80,0.00,0.0250020
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,39.70,0.00,0.0150702
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,109.90,0.00,0.0386365
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,8119.10,0.00,1.9943130
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,82.80,0.00,0.0293947
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,143.20,0.00,0.0495050
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,134.20,0.00,0.0430922
