language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,103.30,0.00,0.0386428
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,27.90,0.00,0.0144369
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,2563.00,0.00,0.7745158
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,23.30,0.00,0.0100343
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,29.60,0.00,0.0149895
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,38.30,0.00,0.0177131
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1156.00,0.00,0.3610274
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,21.50,0.00,0.0103306
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,39.90,0.00,0.0203276
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,52.50,0.00,0.0242459
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,93.60,0.00,0.0373722
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,196.50,0.00,0.0744829
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,13809.40,0.00,4.0877902
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,160.10,0.00,0.0606276
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,102.20,0.00,0.0425763
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,136.10,0.00,0.0531289
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,7906.70,0.00,2.3451330
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,81.20,0.00,0.0342114
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,195.10,0.00,0.0756027
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,186.80,0.00,0.0702495
