language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,58.80,0.00,0.0054133
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,70.00,0.00,0.0049481
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,5864.70,0.00,0.1028240
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,54.70,0.00,0.0047501
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,34.50,0.00,0.0038710
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,48.00,0.00,0.0064520
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,2791.00,0.00,0.0541687
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,41.30,0.00,0.0040312
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,59.60,0.00,0.0036841
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,81.60,0.00,0.0076182
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,127.30,0.00,0.0047947
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,64.20,0.00,0.0035927
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,22935.10,0.00,0.3813076
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,104.40,0.00,0.0049777
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,91.30,0.00,0.0095290
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,117.00,0.00,0.0038245
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,9775.40,0.00,0.1629981
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,86.30,0.00,0.0038417
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,96.50,0.00,0.0039571
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,224.40,0.00,0.0054979
