language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,239.70,0.00,0.0041496
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,50.90,0.00,0.0018156
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,24567.90,0.00,0.2592933
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,188.40,0.00,0.0038074
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,128.40,0.00,0.0030655
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,113.90,0.00,0.0027939
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,31337.50,0.00,0.3263076
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,181.40,0.00,0.0035361
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,189.70,0.00,0.0036839
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,281.80,0.00,0.0046300
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,295.20,0.00,0.0048696
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,195.50,0.00,0.0036114
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,53840.00,0.00,0.5679294
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,168.60,0.00,0.0028829
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,196.40,0.00,0.0033704
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,173.00,0.00,0.0031245
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,33347.70,0.00,0.3530519
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,171.90,0.00,0.0032059
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,260.00,0.00,0.0041543
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,490.60,0.00,0.0066934
