language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,21.20,0.00,0.0095668
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,24.20,0.00,0.0100026
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,1808.30,0.00,0.5077026
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,36.60,0.00,0.0147630
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,42.00,0.00,0.0167963
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,21.30,0.00,0.0105765
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,744.20,0.00,0.2141104
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,26.20,0.00,0.0104177
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,25.10,0.00,0.0096461
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,54.40,0.00,0.0216726
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,113.70,0.00,0.0436663
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,88.50,0.00,0.0327431
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,6686.60,0.00,1.8587977
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,85.90,0.00,0.0361233
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,56.40,0.00,0.0212363
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,95.00,0.00,0.0342525
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,6214.00,0.00,1.6439115
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,66.90,0.00,0.0276065
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,114.60,0.00,0.0420453
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,231.30,0.00,0.0821515
