language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,112.30,0.00,0.0058273
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,48.60,0.00,0.0047596
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,4193.50,0.00,0.0804535
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,46.50,0.00,0.0055147
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,43.30,0.00,0.0060392
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,62.50,0.00,0.0052865
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,3466.50,0.00,0.0689872
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,62.80,0.00,0.0054231
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,97.40,0.00,0.0068800
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,61.50,0.00,0.0054395
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,397.90,0.00,0.0098877
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,148.60,0.00,0.0053916
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,20987.00,0.00,0.3813076
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,100.70,0.00,0.0043177
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,256.10,0.00,0.0072689
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,222.70,0.00,0.0066364
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,11685.50,0.00,0.2138314
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,224.50,0.00,0.0071225
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,335.00,0.00,0.0098790
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,402.70,0.00,0.0101573
