language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,36.60,0.00,0.0227071
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,20.20,0.00,0.0183429
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,1290.60,0.00,0.5984583
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,24.90,0.00,0.0161343
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,16.10,0.00,0.0097127
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,26.80,0.00,0.0208004
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,342.70,0.00,0.1721239
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,28.30,0.00,0.0184999
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,24.90,0.00,0.0190339
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,24.50,0.00,0.0256797
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,207.30,0.00,0.1088521
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,103.10,0.00,0.0604530
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,18910.40,0.00,8.3269184
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,146.40,0.00,0.0787713
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,96.90,0.00,0.0818918
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,142.70,0.00,0.0829746
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,2985.60,0.00,1.3425341
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,108.20,0.00,0.0601919
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,120.30,0.00,0.0669758
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,147.40,0.00,0.0772974
