language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,18.70,0.00,0.0114230
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,23.90,0.00,0.0108300
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,2228.70,0.00,0.7463986
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,24.40,0.00,0.0133581
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,9.60,0.00,0.0067435
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,17.60,0.00,0.0098709
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,556.20,0.00,0.2009706
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,23.60,0.00,0.0119381
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,34.60,0.00,0.0159651
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,23.20,0.00,0.0109001
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,105.70,0.00,0.0451880
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,26.80,0.00,0.0143004
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,6881.70,0.00,2.3579691
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,99.10,0.00,0.0413141
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,58.60,0.00,0.0258667
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,56.10,0.00,0.0260715
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,6888.40,0.00,2.3477223
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,80.30,0.00,0.0384043
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,86.50,0.00,0.0406532
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,48.90,0.00,0.0215964
