language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,59.10,0.00,0.0037545
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,47.20,0.00,0.0026068
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,4734.40,0.00,0.0595573
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,57.50,0.00,0.0028639
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,18.30,0.00,0.0025287
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,59.90,0.00,0.0027565
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,3261.10,0.00,0.0411040
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,30.50,0.00,0.0028025
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,44.20,0.00,0.0028589
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,73.20,0.00,0.0031479
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,147.70,0.00,0.0035781
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,137.30,0.00,0.0035432
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,15705.80,0.00,0.1882428
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,135.90,0.00,0.0031146
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,90.40,0.00,0.0027049
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,157.70,0.00,0.0036925
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,7565.00,0.00,0.0907246
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,115.70,0.00,0.0034191
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,158.30,0.00,0.0036616
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,148.50,0.00,0.0034610
