language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,30.00,0.00,0.0189469
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,38.20,0.00,0.0152987
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,3182.70,0.00,1.1725849
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,25.00,0.00,0.0123683
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,10.80,0.00,0.0078227
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,34.60,0.00,0.0206438
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,1002.30,0.00,0.4076207
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,49.20,0.00,0.0273494
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,29.30,0.00,0.0171532
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,26.00,0.00,0.0132434
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,108.50,0.00,0.0537210
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,65.50,0.00,0.0351013
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,9651.80,0.00,3.6379227
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,42.40,0.00,0.0232348
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,44.00,0.00,0.0259560
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,42.00,0.00,0.0285252
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,5590.20,0.00,2.1071493
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,58.40,0.00,0.0324629
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,54.00,0.00,0.0273532
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,96.90,0.00,0.0476386
