language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,64.50,0.00,0.0030193
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,64.30,0.00,0.0028479
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,3003.50,0.00,0.0317439
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,59.30,0.00,0.0027912
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,39.50,0.00,0.0029213
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,45.50,0.00,0.0030010
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,2368.30,0.00,0.0258134
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,55.50,0.00,0.0023057
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,30.60,0.00,0.0023828
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,75.90,0.00,0.0029342
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,104.00,0.00,0.0024451
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,128.60,0.00,0.0028321
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,9676.80,0.00,0.0904096
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,145.00,0.00,0.0031457
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,52.10,0.00,0.0018883
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,104.40,0.00,0.0028555
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,8219.60,0.00,0.0749948
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,126.60,0.00,0.0026309
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,141.90,0.00,0.0029780
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,110.80,0.00,0.0025038
