language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,227.50,0.00,0.0039804
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,81.90,0.00,0.0019011
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,24955.90,0.00,0.1995074
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,134.10,0.00,0.0027438
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,102.50,0.00,0.0023440
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,66.80,0.00,0.0019719
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,18211.20,0.00,0.1627011
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,120.20,0.00,0.0026657
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,94.90,0.00,0.0020632
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,126.40,0.00,0.0023268
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,473.80,0.00,0.0055022
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,272.20,0.00,0.0035644
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,31122.90,0.00,0.2489742
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,133.40,0.00,0.0023824
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,142.10,0.00,0.0024390
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,116.60,0.00,0.0027823
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,24481.40,0.00,0.2007696
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,223.70,0.00,0.0031797
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,351.90,0.00,0.0041729
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,315.20,0.00,0.0038117
