language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,129.00,0.00,0.0067078
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,77.70,0.00,0.0050266
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,6278.00,0.00,0.1436797
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,78.90,0.00,0.0058231
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,53.00,0.00,0.0042172
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,62.20,0.00,0.0050857
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,3766.40,0.00,0.0879210
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,87.60,0.00,0.0061727
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,38.20,0.00,0.0044535
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,68.30,0.00,0.0057393
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,457.50,0.00,0.0127864
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,384.60,0.00,0.0119199
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,29335.80,0.00,0.6495502
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,311.70,0.00,0.0088526
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,243.70,0.00,0.0072283
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,218.00,0.00,0.0076335
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,18183.80,0.00,0.4022385
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,225.00,0.00,0.0072724
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,208.20,0.00,0.0070346
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,259.50,0.00,0.0082231
