language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,71.50,0.00,0.0114278
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,92.20,0.00,0.0096984
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,7489.00,0.00,0.1970553
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,69.40,0.00,0.0065954
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,42.60,0.00,0.0085818
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,42.40,0.00,0.0049265
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,3852.50,0.00,0.1001706
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,66.60,0.00,0.0070035
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,57.20,0.00,0.0067146
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,90.60,0.00,0.0073508
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,237.70,0.00,0.0080628
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,319.80,0.00,0.0150905
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,30978.00,0.00,0.7410618
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,99.10,0.00,0.0053209
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,78.40,0.00,0.0045769
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,304.90,0.00,0.0094215
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,16686.00,0.00,0.4128256
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,122.40,0.00,0.0075657
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,332.90,0.00,0.0109304
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,249.30,0.00,0.0077626
