language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,25.40,0.00,0.0130821
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,29.50,0.00,0.0136348
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,1859.20,0.00,0.6789287
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,19.00,0.00,0.0113533
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,14.80,0.00,0.0107426
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,36.10,0.00,0.0226416
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,947.10,0.00,0.3688682
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,30.30,0.00,0.0146287
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,40.60,0.00,0.0236289
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,42.30,0.00,0.0255475
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,162.30,0.00,0.0702056
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,66.50,0.00,0.0372890
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,13133.20,0.00,4.7014848
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,73.50,0.00,0.0346384
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,92.50,0.00,0.0424553
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,93.90,0.00,0.0417612
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,7126.00,0.00,2.6561726
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,81.90,0.00,0.0415465
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,83.90,0.00,0.0445665
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,149.60,0.00,0.0705897
