language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,30.30,0.00,0.0071682
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,37.80,0.00,0.0097166
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,1418.70,0.00,0.2429820
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,32.90,0.00,0.0098896
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,20.10,0.00,0.0061206
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,24.20,0.00,0.0065263
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,2552.20,0.00,0.4181502
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,32.90,0.00,0.0071677
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,31.00,0.00,0.0092704
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,58.00,0.00,0.0143804
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,50.10,0.00,0.0136748
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,98.20,0.00,0.0213287
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,7409.40,0.00,1.2030562
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,81.30,0.00,0.0219327
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,47.50,0.00,0.0113444
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,73.80,0.00,0.0168095
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,2841.90,0.00,0.4650389
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,42.70,0.00,0.0103857
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,63.20,0.00,0.0145642
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,83.00,0.00,0.0206578
